RoomNum, PartyName, PartyCode, ArrivalTime, Email
1,"MrandMrs Party Name 1","Secret Code 1","November 5th @ 8:00PM","youremail1@smagmedia.net"
2,"MrandMrs Party Name 2","Secret Code 2","November 5th @ 8:00PM","youremail2@smagmedia.net"
3,"MrandMrs Party Name 3","Secret Code 3","November 5th @ 8:00PM","youremail3@smagmedia.net"
4,"MrandMrs Party Name 4","Secret Code 4","November 5th @ 8:00PM","youremail4@smagmedia.net"
5,"MrandMrs Party Name 5","Secret Code 5","November 5th @ 8:00PM","youremail5@smagmedia.net"
6,"MrandMrs Party Name 6","Secret Code 6","November 5th @ 8:00PM","youremail6@smagmedia.net"
7,"MrandMrs Party Name 7","Secret Code 7","November 5th @ 8:00PM","youremail7@smagmedia.net"
8,"MrandMrs Party Name 8","Secret Code 8","November 5th @ 8:00PM","youremail8@smagmedia.net"
9,"MrandMrs Party Name 9","Secret Code 9","November 5th @ 8:00PM","youremail9@smagmedia.net"
10,"MrandMrs Party Name 10","Secret Code 10","November 5th @ 8:00PM","youremail10@smagmedia.net"
11,"MrandMrs Party Name 11","Secret Code 11","November 5th @ 8:00PM","youremail11@smagmedia.net"
12,"MrandMrs Party Name 12","Secret Code 12","November 5th @ 8:00PM","youremail12@smagmedia.net"
13,"MrandMrs Party Name 13","Secret Code 13","November 5th @ 8:00PM","youremail13@smagmedia.net"
14,"MrandMrs Party Name 14","Secret Code 14","November 5th @ 8:00PM","youremail14@smagmedia.net"
15,"MrandMrs Party Name 15","Secret Code 15","November 5th @ 8:00PM","youremail15@smagmedia.net"
16,"MrandMrs Party Name 16","Secret Code 16","November 5th @ 8:00PM","youremail16@smagmedia.net"
17,"MrandMrs Party Name 17","Secret Code 17","November 5th @ 8:00PM","youremail17@smagmedia.net"
18,"MrandMrs Party Name 18","Secret Code 18","November 5th @ 8:00PM","youremail18@smagmedia.net"
19,"MrandMrs Party Name 19","Secret Code 19","November 5th @ 8:00PM","youremail19@smagmedia.net"
20,"MrandMrs Party Name 20","Secret Code 20","November 5th @ 8:00PM","youremail20@smagmedia.net"
21,"MrandMrs Party Name 21","Secret Code 21","November 5th @ 8:00PM","youremail21@smagmedia.net"
22,"MrandMrs Party Name 22","Secret Code 22","November 5th @ 8:00PM","youremail22@smagmedia.net"
23,"MrandMrs Party Name 23","Secret Code 23","November 5th @ 8:00PM","youremail23@smagmedia.net"
24,"MrandMrs Party Name 24","Secret Code 24","November 5th @ 8:00PM","youremail24@smagmedia.net"
25,"MrandMrs Party Name 25","Secret Code 25","November 5th @ 8:00PM","youremail25@smagmedia.net"
26,"MrandMrs Party Name 26","Secret Code 26","November 5th @ 8:00PM","youremail26@smagmedia.net"
27,"MrandMrs Party Name 27","Secret Code 27","November 5th @ 8:00PM","youremail27@smagmedia.net"
28,"MrandMrs Party Name 28","Secret Code 28","November 5th @ 8:00PM","youremail28@smagmedia.net"
29,"MrandMrs Party Name 29","Secret Code 29","November 5th @ 8:00PM","youremail29@smagmedia.net"
30,"MrandMrs Party Name 30","Secret Code 30","November 5th @ 8:00PM","youremail30@smagmedia.net"
31,"MrandMrs Party Name 31","Secret Code 31","November 5th @ 8:00PM","youremail31@smagmedia.net"
32,"MrandMrs Party Name 32","Secret Code 32","November 5th @ 8:00PM","youremail32@smagmedia.net"
33,"MrandMrs Party Name 33","Secret Code 33","November 5th @ 8:00PM","youremail33@smagmedia.net"
34,"MrandMrs Party Name 34","Secret Code 34","November 5th @ 8:00PM","youremail34@smagmedia.net"
35,"MrandMrs Party Name 35","Secret Code 35","November 5th @ 8:00PM","youremail35@smagmedia.net"
36,"MrandMrs Party Name 36","Secret Code 36","November 5th @ 8:00PM","youremail36@smagmedia.net"
37,"MrandMrs Party Name 37","Secret Code 37","November 5th @ 8:00PM","youremail37@smagmedia.net"
38,"MrandMrs Party Name 38","Secret Code 38","November 5th @ 8:00PM","youremail38@smagmedia.net"
39,"MrandMrs Party Name 39","Secret Code 39","November 5th @ 8:00PM","youremail39@smagmedia.net"
40,"MrandMrs Party Name 40","Secret Code 40","November 5th @ 8:00PM","youremail40@smagmedia.net"
41,"MrandMrs Party Name 41","Secret Code 41","November 5th @ 8:00PM","youremail41@smagmedia.net"
42,"MrandMrs Party Name 42","Secret Code 42","November 5th @ 8:00PM","youremail42@smagmedia.net"
43,"MrandMrs Party Name 43","Secret Code 43","November 5th @ 8:00PM","youremail43@smagmedia.net"
44,"MrandMrs Party Name 44","Secret Code 44","November 5th @ 8:00PM","youremail44@smagmedia.net"
45,"MrandMrs Party Name 45","Secret Code 45","November 5th @ 8:00PM","youremail45@smagmedia.net"
46,"MrandMrs Party Name 46","Secret Code 46","November 5th @ 8:00PM","youremail46@smagmedia.net"
47,"MrandMrs Party Name 47","Secret Code 47","November 5th @ 8:00PM","youremail47@smagmedia.net"
48,"MrandMrs Party Name 48","Secret Code 48","November 5th @ 8:00PM","youremail48@smagmedia.net"
